city,fips_regions,lon,lat,state,zipcode
"Rutland",25,-71.9757,42.3718,"MA",1543
"Shrewsbury",25,-71.7267,42.2835,"MA",1545
"Shrewsbury",25,-71.7519,42.2888,"MA",1546
"Southbridge",25,-72.0231,42.0736,"MA",1550
"South Lancaster",25,-71.6864,42.4428,"MA",1561
"Spencer",25,-71.9757,42.2191,"MA",1562
"Sterling",25,-71.786,42.4551,"MA",1564
"Sturbridge",25,-72.0824,42.131,"MA",1566
"Upton",25,-71.608,42.1684,"MA",1568
"Uxbridge",25,-71.6436,42.0499,"MA",1569
"Webster",25,-71.8453,42.0543,"MA",1570
"Dudley",25,-71.9283,42.0582,"MA",1571
"Westborough",25,-71.5717,42.2918,"MA",1580
"Westborough",25,-71.608,42.2639,"MA",1581
"Westborough",25,-71.5835,42.2819,"MA",1582
"West Boylston",25,-71.7741,42.3675,"MA",1583
"West Brookfield",25,-72.1653,42.2496,"MA",1585
"Millbury",25,-71.8027,42.1756,"MA",1586
"Whitinsville",25,-71.6792,42.1228,"MA",1588
"Sutton",25,-71.7385,42.1421,"MA",1590
"Worcester",25,-71.8,42.26,"MA",1601
"Worcester",25,-71.8512,42.2705,"MA",1602
"Worcester",25,-71.8393,42.2399,"MA",1603
"Worcester",25,-71.7682,42.2569,"MA",1604
"Worcester",25,-71.7919,42.2799,"MA",1605
"Worcester",25,-71.7978,42.3142,"MA",1606
"Worcester",25,-71.7919,42.2321,"MA",1607
"Worcester",25,-71.8023,42.2613,"MA",1608
"Worcester",25,-71.8245,42.2876,"MA",1609
"Worcester",25,-71.8186,42.2532,"MA",1610
"Cherry Valley",25,-71.8749,42.2361,"MA",1611
"Paxton",25,-71.9401,42.3183,"MA",1612
"Worcester",25,-71.7951,42.2662,"MA",1613
"Worcester",25,-71.8,42.26,"MA",1614
"Worcester",25,-71.8,42.26,"MA",1615
"Worcester",25,-71.7837,42.2922,"MA",1653
"Worcester",25,-71.8,42.26,"MA",1655
"Framingham",25,-71.4418,42.3315,"MA",1701
"Framingham",25,-71.4359,42.2782,"MA",1702
"Framingham",25,-71.4236,42.3026,"MA",1703
